ID,Nombre,Grado,pag,Sector,Grado estandarizado
888,Umpa lumpa,7a,157,El Río,7a
889,Un esqueleto en el armario,7b,200,Las Vegas,7b
890,Un loco de caza,6b,159,El Río,6b
891,"Un, dos, tres",6a+,181,Las Barbas de San Pedro,6a+
892,Una de gambas al ajillo,6a,188,Las Barbas de San Pedro,6a
893,Una puta rara,6C+,251,El Capricho,6C+
894,Una puta rara y su hija,7a,251,El Capricho,7a
895,Unicornio,V-,51,Tamadaya,V-
896,Universo paralelo,V+,51,Tamadaya,V+
897,"Universo, El",V,50,Tamadaya,V
898,Uxia,6c,207,Las Palomas,6c
899,Transiberiana,6b,235,Guaria,6b
900,Transilvania,7a,255,El Capricho,7a
901,Transworld,V,46,Tamadaya,V
902,Trasvisionvan,6b,260,El Capricho,6b
903,Travel dedos,7b,96,Arico,7b
904,"Traviesa, La",6b,143,Hoyo,6b
905,"Tremor, El",6c,26,Fasnia,6c
906,"Treparriscos, El",6b+,113,La Fuente,6b+
907,"Trepe, El",6a,229,Guaria,6a
908,"Tres llorones, Los","6a+, 6b+",233,Guaria,"6a+, 6b+"
909,"Triada, La",6a,50,Tamadaya,6a
910,Tripa de cerdo,6c,82,Arico,6c
911,Trópico de canto,7a,162,El Río,7a
912,Tu si a mi,V+,179,Las Barbas de San Pedro,V+
913,"Tubería, La",6b,115,La Fuente,6b
914,Tumafanculaba,6a,199,Las Vegas,6a
915,"Tuqueque, La",V+,160,El Río,V+
916,Turre pal goro,7a,233,Guaria,7a
917,Uf uf,6c,73,Arico,6c
918,Uff Sanson,6C,106,Los Naranjos,6C
919,"Última decisión, La",6b,183,Las Barbas de San Pedro,6b
920,Última edición,6c+,143,Hoyo,6c+
921,"Último tren, El",6a+,159,El Río,6a+
922,"Últimos días del mesías, Los",6a+,255,El Capricho,6a+
923,V-style,6a+,49,Tamadaya,6a+
924,V+/8a,6C,72,Arico,6C
925,Vacaciones en casa,6C,96,Arico,6C
926,Vacuno moruno,8b,88,Arico,8b
927,Vadefrente,6b,144,Hoyo,6b
928,Vaderetro,7a+,144,Hoyo,7a+
929,Vado permanente,V+,89,Arico,V+
930,"Vagoneta, La",7a,88,Arico,7a
931,Van Helsing,7b,169,Zona Zero,7b
932,Vania,6b+,159,El Río,6b+
933,Varianta de porcelana,6C,37,La Galería,6C
934,Variante,6a,235,Guaria,6a
935,Nacido pa´sufrif y morir,"7a,6c,7b,6a+",237,Guaria,"7a,6c,7b,6a+"
936,Matando mosquitos,V+,233,Guaria,V+
937,Matrix,7c+/+,106,Los Naranjos,7C+
938,Max potter,7a,88,Arico,7a
939,Maximun,7b,257,El Capricho,7b
940,Me empaló un cardón,6b,126,Fantasma,6b
941,Me empalo un palo,6c,72,Arico,6c
942,Me siento flex,6c,262,El Capricho,6c
943,Me sobran neuronas,7a+,95,Arico,7a+
944,Mejor que un polvo,6b+,23,Fasnia,6b+
945,Ménage à trois,6c,63,Planeta Zarza,6c
946,Mencey de Abona,6c+,153,El Río,6c+
947,Mencey de Abona,6a,222,La Martela,6a
948,Mencey de Chasna,V+,222,La Martela,V+
949,Menudo palo,6a,181,Las Barbas de San Pedro,6a
950,Metal forjado,6c+,237,Guaria,6c+
951,Metalmania,8b+,157,El Río,8b+
952,Metalmilitia,7c+,261,El Capricho,7c+
953,Metasulfitos,7a,173,Zona Zero,7a
954,Mi abuelita la maldita,6b+,73,Arico,6b+
955,"Mierda, La",6a,250,El Capricho,6a
956,Millagui,6a,125,Fantasma,6a
957,Min Frisør,8a+,38,La Galería,8a+
958,Minimo comun multiplo,8a+,39,La Galería,8a+
959,"Mirindolo, El",8a,106,Los Naranjos,8a
960,"Misión del peregrino, La",6c,255,El Capricho,6c
961,Mistress of Nuts,7b,113,La Fuente,7b
962,Moco line,7c+,77,Arico,7c+
963,"Moco, El",6a+,199,Las Vegas,6a+
964,Mónica diabólica,V,82,Arico,V
965,Monkey,V+,82,Arico,V+
966,Morralla de basca,8a,240,Guaria,8a
967,"Morrallita, La",V,25,Fasnia,V
968,"Morrallosa, La",V,25,Fasnia,V
969,Morrongos Family,6c+,171,Zona Zero,6c+
970,Mortales ingredientes,¿?,261,El Capricho,NA
971,"Mortificadora, La",7a,247,El Capricho,7a
972,"Mosca, La",7a,82,Arico,7a
973,Moscas pegajosas,6b+,99,Arico,6b+
974,Movi Dick,6c+,37,La Galería,6c+
975,Mucha fibra y poca teta,7b+,92,Arico,7b+
976,"Muleta, La",V,181,Las Barbas de San Pedro,V
977,Multiorgasmos,8c+,38,La Galería,8c+
978,Murder,7c+,114,La Fuente,7c+
979,Mussi,6C,260,El Capricho,6C
980,My nephew Diego El Inglés,V+,181,Las Barbas de San Pedro,V+
981,Mytical slab,V+,49,Tamadaya,V+
982,Nada que mordes,6b+,28,Fasnia,6b+
983,Nandrolona,v+,146,Hoyo,v+
984,Naranjeitor,7b+,76,Arico,7b+
985,Nasio pa'na,7b,77,Arico,7b
986,Neandhertal,8b,240,Guaria,8b
